state,county,fips,year,population,pub_sup_1,pub_sup_2,pub_sup_3,pub_sup_4,pub_sup_5,pub_sup_6,pub_sup_7,pub_sup_8,pub_sup_9,pub_sup_10,pub_sup_11,pub_sup_12,dom_sup_1,dom_sup_2,dom_sup_3,dom_sup_4,dom_sup_5,dom_sup_6,dom_sup_7,dom_sup_8,ind_1,ind_2,ind_3,ind_4,ind_5,ind_6,ind_7,ind_8,ind_9,irrigation_1,irrigation_2,irrigation_3,irrigation_4,irrigation_5,irrigation_6,irrigation_7,crop_1,crop_2,crop_3,crop_4,crop_5,crop_6,crop_7,golf_1,golf_2,golf_3,golf_4,golf_5,golf_6,golf_7,livestock_1,livestock_2,livestock_3,aqua_1,aqua_2,aqua_3,aqua_4,aqua_5,aqua_6,aqua_7,aqua_8,aqua_9,mining_1,mining_2,mining_3,mining_4,mining_5,mining_6,mining_7,mining_8,mining_9,thermoelectric_1,thermoelectric_2,thermoelectric_3,thermoelectric_4,thermoelectric_5,thermoelectric_6,thermoelectric_7,thermoelectric_8,thermoelectric_9,thermoelectric_10,thermoelectric_11,thermoelectric_12,thermoelectric_13,thermoelectric_14,thermoelectric_15,thermoelectric_16,thermoelectric_17,thermoelectric_18,thermoelectric_19,thermoelectric_20,thermoelectric_21,thermoelectric_22,thermoelectric_23,thermoelectric_24,thermoelectric_25,thermoelectric_26,thermoelectric_27,thermoelectric_28,thermoelectric_29,thermoelectric_30,gro_wat_1,gro_wat_2,gro_wat_3,surf_wat_1,surf_wat_2,surf_wat_3,total_withdrawal_1,total_withdrawal_2,total_withdrawal_3
AL,Autauga County,1001,2010,54571.00000000002,,,48222.0,5.09,0.0,5.09,0.0,0.0,0.0,5.09,0.0,5.09,6349.0,0.37,0.0,0.37,58.0,3.17,66.0,3.54,9.89,0.0,9.89,31.14,0.0,31.14,41.03,0.0,41.03,2.88,0.06,2.94,1.9,0.03,0.02,1.95,2.88,0.0,2.88,1.8,0.03,0.02,1.85,0.0,0.06,0.06,0.1,0.0,0.0,0.1,0.06,0.09,0.15,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.04,0.0,0.04,0.13,0.0,0.13,0.0,0.0,0.0,5.84,0.0,5.84,5.84,0.0,5.84,6738.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.84,0.0,5.84,5.84,0.0,5.84,6738.26,18.38,0.0,18.38,37.17,0.0,37.17,55.55,0.0,55.55
AL,Baldwin County,1003,2010,182265.0,,,153463.0,22.97,0.0,22.97,0.0,0.0,0.0,22.97,0.0,22.97,28802.0,1.71,0.0,1.71,59.0,11.95,78.0,13.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.3,6.66,38.96,12.44,0.43,0.17,13.04,32.3,5.07,37.37,10.3,0.43,0.17,10.9,0.0,1.59,1.59,2.14,0.0,0.0,2.14,0.16,0.19,0.35,0.0,,0.0,0.16,,0.16,0.16,0.0,0.16,0.21,0.0,0.21,0.0,0.0,0.0,0.21,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.35,0.0,57.35,7.01,0.0,7.01,64.36,0.0,64.36
AL,Barbour County,1005,2010,27457.0,,,25555.0,4.15,0.0,4.15,0.0,0.0,0.0,4.15,0.0,4.15,1902.0,0.15,0.0,0.15,79.0,1.9,74.0,2.05,1.58,0.0,1.58,0.0,0.0,0.0,1.58,0.0,1.58,0.46,1.71,2.17,3.23,0.07,0.0,3.3,0.46,1.52,1.98,2.93,0.07,0.0,3.0,0.0,0.19,0.19,0.3,0.0,0.0,0.3,0.15,0.23,0.38,0.09,,0.09,2.34,,2.34,2.43,0.0,2.43,0.13,0.0,0.13,0.06,0.0,0.06,0.19,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.71,0.0,6.71,4.34,0.0,4.34,11.05,0.0,11.05
AL,Bibb County,1007,2010,22915.0,,,21279.0,4.89,0.0,4.89,0.0,0.0,0.0,4.89,0.0,4.89,1636.0,0.15,0.0,0.15,92.0,1.69,79.0,1.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.06,0.69,0.4,0.0,0.0,0.4,0.63,0.0,0.63,0.3,0.0,0.0,0.3,0.0,0.06,0.06,0.1,0.0,0.0,0.1,0.03,0.04,0.07,0.0,,0.0,1.45,,1.45,1.45,0.0,1.45,0.36,0.0,0.36,0.0,0.0,0.0,0.36,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.06,0.0,6.06,1.55,0.0,1.55,7.61,0.0,7.61
AL,Blount County,1009,2010,57322.0,,,44464.0,2.44,0.0,2.44,52.17,0.0,52.17,54.61,0.0,54.61,12858.0,0.89,0.0,0.89,69.0,2.98,67.0,3.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.36,0.48,0.96,0.01,0.0,0.97,0.12,0.12,0.24,0.55,0.01,0.0,0.56,0.0,0.24,0.24,0.41,0.0,0.0,0.41,0.47,0.51,0.98,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.0,0.0,0.0,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.04,0.0,4.04,53.04,0.0,53.04,57.08,0.0,57.08
AL,Bullock County,1011,2010,10914.0,,,10176.0,2.3,0.0,2.3,0.0,0.0,0.0,2.3,0.0,2.3,738.0,0.08,0.0,0.08,108.0,1.12,110.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.32,0.61,0.24,0.0,0.0,0.24,0.29,0.29,0.58,0.18,0.0,0.0,0.18,0.0,0.03,0.03,0.06,0.0,0.0,0.06,0.05,0.09,0.14,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.02,0.0,0.02,0.06,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.76,0.0,2.76,0.43,0.0,0.43,3.19,0.0,3.19
AL,Butler County,1013,2010,20947.0,,,17599.0,2.7,0.0,2.7,0.0,0.0,0.0,2.7,0.0,2.7,3348.0000000000005,0.28,0.0,0.28,84.0,1.34,76.0,1.62,0.3,0.0,0.3,0.0,0.0,0.0,0.3,0.0,0.3,0.02,0.32,0.34,0.44,0.0,0.0,0.44,0.02,0.01,0.03,0.06,0.0,0.0,0.06,0.0,0.31,0.31,0.38,0.0,0.0,0.38,0.16,0.24,0.4,0.27,,0.27,0.23,,0.23,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.73,0.0,3.73,0.79,0.0,0.79,4.52,0.0,4.52
AL,Calhoun County,1015,2010,118572.0,,,112390.0,20.83,0.0,20.83,2.47,0.0,2.47,23.3,0.0,23.3,6182.0,0.51,0.0,0.51,82.0,9.4,84.0,9.91,0.97,0.0,0.97,0.0,0.0,0.0,0.97,0.0,0.97,0.0,4.09,4.09,3.35,0.0,0.0,3.35,0.0,3.44,3.44,2.47,0.0,0.0,2.47,0.0,0.65,0.65,0.88,0.0,0.0,0.88,0.13,0.19,0.32,0.0,,0.0,0.02,,0.02,0.02,0.0,0.02,0.07,0.0,0.07,0.03,0.0,0.03,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.51,0.0,22.51,6.8,0.0,6.8,29.31,0.0,29.31
AL,Chambers County,1017,2010,34215.0,,,25875.0,0.0,0.0,0.0,4.31,0.0,4.31,4.31,0.0,4.31,8340.0,0.71,0.0,0.71,85.0,2.11,82.0,2.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.03,0.2,0.39,0.0,0.0,0.39,0.17,0.0,0.17,0.33,0.0,0.0,0.33,0.0,0.03,0.03,0.06,0.0,0.0,0.06,0.07,0.11,0.18,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.95,4.45,0.0,4.45,5.4,0.0,5.4
AL,Cherokee County,1019,2010,25989.0,,,17875.999999999993,2.53,0.0,2.53,0.96,0.0,0.96,3.49,0.0,3.49,8113.0,0.52,0.0,0.52,64.0,1.15,64.0,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.24,1.24,1.45,0.0,0.0,1.45,0.0,1.18,1.18,1.35,0.0,0.0,1.35,0.0,0.06,0.06,0.1,0.0,0.0,0.1,0.11,0.17,0.28,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.17,0.0,3.17,2.37,0.0,2.37,5.54,0.0,5.54
