field,description,water_use_category,water_use_category_description,ground_surface,fresh_saline,accounting
state,State postal abbreviation,,,,,
county,County name,,,,,
fips,Concatenated State-county FIPS code,,,,,
year,Year of data=2010,,,,,
population,Total population of county,,,,,
pub_sup_1,"Public Supply, population served by groundwater",Public Supply,Services at least 25 people or have a minimum of 15 connections in its water supply network,ground,fresh,
pub_sup_2,"Public Supply, population served by surface water",Public Supply,Services at least 25 people or have a minimum of 15 connections in its water supply network,,,
pub_sup_3,"Public Supply, total population served",Public Supply,Services at least 25 people or have a minimum of 15 connections in its water supply network,,fresh and saline,pub_sup_1 + pub_sup_2
pub_sup_4,"Public Supply,  groundwater withdrawals, fresh, in Mgal/d",Public Supply,Services at least 25 people or have a minimum of 15 connections in its water supply network,ground,fresh,
pub_sup_5,"Public Supply, groundwater withdrawals, saline, in Mgal/d",Public Supply,Services at least 25 people or have a minimum of 15 connections in its water supply network,ground,saline,
pub_sup_6,"Public Supply, groundwater withdrawals, total, in Mgal/d",Public Supply,Services at least 25 people or have a minimum of 15 connections in its water supply network,ground,fresh and saline,pub_sup_4 + pub_sup_5
pub_sup_7,"Public Supply, surface-water withdrawals, fresh, in Mgal/d",Public Supply,Services at least 25 people or have a minimum of 15 connections in its water supply network,surface,fresh,
pub_sup_8,"Public Supply, surface-water withdrawals, saline, in Mgal/d",Public Supply,Services at least 25 people or have a minimum of 15 connections in its water supply network,surface,saline,
pub_sup_9,"Public Supply, surface-water withdrawals, total, in Mgal/d",Public Supply,Services at least 25 people or have a minimum of 15 connections in its water supply network,surface,fresh and saline,pub_sup_7 + pub_sup_8
pub_sup_10,"Public Supply, total withdrawals, fresh, in Mgal/d",Public Supply,Services at least 25 people or have a minimum of 15 connections in its water supply network,ground and surface,,pub_sup_4 + pub_sup_7
pub_sup_11,"Public Supply, total withdrawals, saline, in Mgal/d",Public Supply,Services at least 25 people or have a minimum of 15 connections in its water supply network,ground and surface,,pub_sup_5 + pub_sup_8
pub_sup_12,"Public Supply, total withdrawals, total (fresh+saline), in Mgal/d",Public Supply,Services at least 25 people or have a minimum of 15 connections in its water supply network,ground and surface,,pub_sup_10 + pub_sup_11
dom_sup_1,"Domestic, self-supplied population",Domestic,Used for household purposes - including potable and non-potable water provided to households,,,
dom_sup_2,"Domestic, self-supplied groundwater withdrawals, fresh, in Mgal/d",Domestic,Used for household purposes - including potable and non-potable water provided to households,ground,fresh,
dom_sup_3,"Domestic, self-supplied surface-water withdrawals, fresh, in Mgal/d",Domestic,Used for household purposes - including potable and non-potable water provided to households,surface,fresh,
dom_sup_4,"Domestic, total self-supplied withdrawals, fresh, in Mgal/d",Domestic,Used for household purposes - including potable and non-potable water provided to households,ground and surface,fresh,dom_sup_2 + dom_sup_3
dom_sup_5,"Domestic self-supplied per capita use, in gallons/day",Domestic,Used for household purposes - including potable and non-potable water provided to households,,,
dom_sup_6,"Domestic, deliveries from Public Supply, in Mgal/d",Domestic,Used for household purposes - including potable and non-potable water provided to households,,,
dom_sup_7,"Domestic, publicly supplied per capita use, in gallons/day ",Domestic,Used for household purposes - including potable and non-potable water provided to households,,,
dom_sup_8,"Domestic, total use (withdrawals + deliveries)",Domestic,Used for household purposes - including potable and non-potable water provided to households,,,dom_sup_4 + dom_sup_6
ind_1,"Industrial, self-supplied groundwater withdrawals, fresh, in Mgal/d",Industrial,"Assists in fabrication, processing, washing, and cooling in various industries (e.g. food, petroleum, etc.)",ground,fresh,
ind_2,"Industrial, self-supplied groundwater withdrawals, saline, in Mgal/d",Industrial,"Assists in fabrication, processing, washing, and cooling in various industries (e.g. food, petroleum, etc.)",ground,saline,
ind_3,"Industrial, self-supplied groundwater withdrawals, total, in Mgal/d",Industrial,"Assists in fabrication, processing, washing, and cooling in various industries (e.g. food, petroleum, etc.)",ground,fresh and saline,ind_1 + ind_2
ind_4,"Industrial, self-supplied surface-water withdrawals, fresh, in Mgal/d",Industrial,"Assists in fabrication, processing, washing, and cooling in various industries (e.g. food, petroleum, etc.)",surface,fresh,
ind_5,"Industrial, self-supplied surface-water withdrawals, saline, in Mgal/d",Industrial,"Assists in fabrication, processing, washing, and cooling in various industries (e.g. food, petroleum, etc.)",surface,saline,
ind_6,"Industrial, self-supplied surface-water withdrawals, total, in Mgal/d",Industrial,"Assists in fabrication, processing, washing, and cooling in various industries (e.g. food, petroleum, etc.)",surface,fresh and saline,ind_4 + ind_5
ind_7,"Industrial, self-supplied total withdrawals, fresh, in Mgal/d",Industrial,"Assists in fabrication, processing, washing, and cooling in various industries (e.g. food, petroleum, etc.)",ground and surface,fresh,
ind_8,"Industrial, self-supplied total withdrawals, saline, in Mgal/d",Industrial,"Assists in fabrication, processing, washing, and cooling in various industries (e.g. food, petroleum, etc.)",ground and surface,saline,
ind_9,"Industrial, self-supplied total withdrawals, total (fresh+saline), in Mgal/d",Industrial,"Assists in fabrication, processing, washing, and cooling in various industries (e.g. food, petroleum, etc.)",ground and surface,fresh and saline,ind_7 + ind_8
irrigation_1,"Irrigation, groundwater withdrawals, fresh, in Mgal/d",Irrigation,"Assists crop and pasture growth, or to maintain vegetation on recreational lands such as golf courses",ground,fresh,crop_1 + golf_1
irrigation_2,"Irrigation, surface-water withdrawals, fresh, in Mgal/d",Irrigation,"Assists crop and pasture growth, or to maintain vegetation on recreational lands such as golf courses",surface,fresh,crop_2 + golf_2
irrigation_3,"Irrigation, total withdrawals, fresh, in Mgal/d",Irrigation,"Assists crop and pasture growth, or to maintain vegetation on recreational lands such as golf courses",ground and surface,fresh,irrigation_1 + irrigation_2
irrigation_4,"Irrigation, acres irrigated, sprinkler, in thousands",Irrigation,"Assists crop and pasture growth, or to maintain vegetation on recreational lands such as golf courses",,,crop_4 + golf_4
irrigation_5,"Irrigation, acres irrigated, microirrigation, in thousands",Irrigation,"Assists crop and pasture growth, or to maintain vegetation on recreational lands such as golf courses",,,crop_5 + golf_5
